Age,Gender,Study_Hours,Attendance,Sleep_Hours,Internet_Usage,Previous_Grade,Extra_Activities,Parental_Education,Marks,Result
24.0,M,,54.0,6.0,4.0,89.0,No,Postgraduate,70.0,Pass
18.0,F,8.0,57.0,7.0,1.0,,Yes,School,87.0,Pass
18.0,F,3.0,71.0,4.0,2.0,49.0,No,Postgraduate,62.0,Pass
20.0,F,7.0,91.0,7.0,5.0,81.0,Yes,Graduate,99.0,Pass
,M,7.0,56.0,7.0,,62.0,No,Postgraduate,69.0,Pass
20.0,M,9.0,71.0,6.0,1.0,50.0,Yes,Graduate,95.0,Pass
23.0,F,6.0,95.0,6.0,4.0,51.0,No,Graduate,80.0,Pass
17.0,F,1.0,79.0,4.0,4.0,52.0,Yes,School,43.0,Fail
22.0,F,8.0,86.0,5.0,4.0,79.0,Yes,Postgraduate,,Pass
,M,,65.0,4.0,3.0,88.0,No,School,67.0,Pass
23.0,M,,64.0,7.0,5.0,85.0,No,Postgraduate,75.0,Pass
18.0,M,5.0,54.0,6.0,5.0,88.0,Yes,Graduate,,Pass
18.0,F,8.0,52.0,7.0,2.0,90.0,Yes,Graduate,97.0,Pass
20.0,F,9.0,72.0,8.0,2.0,55.0,Yes,School,93.0,Pass
17.0,F,7.0,59.0,8.0,5.0,48.0,Yes,Postgraduate,61.0,Pass
19.0,F,,54.0,7.0,1.0,91.0,Yes,Postgraduate,87.0,Pass
25.0,F,,72.0,5.0,5.0,49.0,Yes,Graduate,65.0,Pass
23.0,M,5.0,64.0,,3.0,68.0,No,School,74.0,Pass
23.0,F,8.0,67.0,4.0,2.0,48.0,No,Graduate,70.0,
20.0,,1.0,74.0,4.0,2.0,72.0,Yes,Graduate,60.0,Pass
18.0,F,8.0,57.0,4.0,2.0,63.0,Yes,School,74.0,Pass
20.0,M,7.0,80.0,6.0,5.0,74.0,No,Postgraduate,90.0,Pass
22.0,F,1.0,70.0,5.0,2.0,50.0,Yes,Postgraduate,54.0,Pass
19.0,,6.0,51.0,7.0,2.0,78.0,Yes,Graduate,66.0,Pass
17.0,M,,71.0,8.0,5.0,89.0,No,Postgraduate,63.0,Pass
24.0,M,2.0,57.0,5.0,1.0,52.0,No,School,51.0,Pass
21.0,M,5.0,72.0,5.0,2.0,,Yes,Postgraduate,89.0,Pass
,M,2.0,81.0,5.0,2.0,,No,Postgraduate,59.0,Pass
,F,1.0,57.0,4.0,2.0,64.0,Yes,,39.0,Fail
22.0,F,6.0,53.0,6.0,3.0,89.0,,Postgraduate,78.0,Pass
19.0,M,8.0,,7.0,5.0,55.0,Yes,School,80.0,
25.0,M,8.0,68.0,4.0,2.0,,Yes,Graduate,89.0,Pass
21.0,M,8.0,72.0,6.0,3.0,60.0,,School,89.0,Pass
19.0,F,6.0,,5.0,1.0,49.0,Yes,,67.0,Pass
,F,,78.0,,1.0,80.0,No,Postgraduate,64.0,Pass
22.0,M,1.0,72.0,4.0,3.0,79.0,No,Graduate,57.0,Pass
18.0,F,,82.0,5.0,1.0,58.0,,School,52.0,Pass
19.0,F,,96.0,4.0,,74.0,Yes,,83.0,Pass
17.0,M,5.0,67.0,7.0,1.0,67.0,No,Postgraduate,64.0,Pass
25.0,M,1.0,93.0,5.0,4.0,80.0,Yes,,73.0,Pass
24.0,F,1.0,,6.0,3.0,41.0,Yes,Postgraduate,47.0,Fail
18.0,F,9.0,56.0,,4.0,90.0,No,Postgraduate,106.0,Pass
24.0,F,2.0,77.0,8.0,1.0,69.0,No,Postgraduate,,Pass
25.0,M,,50.0,,,79.0,Yes,School,71.0,Pass
17.0,M,4.0,88.0,6.0,4.0,89.0,Yes,School,89.0,Pass
21.0,M,7.0,83.0,5.0,1.0,79.0,No,School,82.0,Pass
24.0,F,8.0,88.0,6.0,2.0,,No,Postgraduate,78.0,Pass
18.0,F,5.0,68.0,4.0,,77.0,,Graduate,,Pass
,M,1.0,80.0,8.0,3.0,81.0,No,Graduate,62.0,Pass
23.0,F,4.0,62.0,7.0,5.0,54.0,No,Graduate,61.0,Pass
19.0,M,3.0,73.0,8.0,3.0,75.0,Yes,School,66.0,Pass
21.0,F,5.0,54.0,4.0,5.0,42.0,Yes,School,67.0,Pass
24.0,M,6.0,72.0,5.0,3.0,63.0,Yes,,84.0,Pass
19.0,F,2.0,,4.0,3.0,80.0,No,School,58.0,Pass
20.0,F,7.0,50.0,6.0,3.0,87.0,Yes,Postgraduate,75.0,Pass
25.0,M,3.0,82.0,5.0,,87.0,No,Graduate,69.0,Pass
23.0,M,1.0,99.0,7.0,,86.0,No,Graduate,,Pass
17.0,M,3.0,82.0,7.0,,80.0,No,School,62.0,Pass
20.0,M,9.0,81.0,4.0,1.0,88.0,Yes,,110.0,Pass
20.0,M,6.0,77.0,6.0,1.0,92.0,Yes,Graduate,86.0,Pass
25.0,F,6.0,86.0,7.0,1.0,51.0,Yes,School,70.0,
22.0,M,4.0,90.0,,3.0,,Yes,School,83.0,Pass
25.0,M,8.0,61.0,,,47.0,No,School,,Pass
22.0,M,5.0,58.0,,5.0,53.0,No,,54.0,Pass
22.0,M,7.0,99.0,7.0,4.0,57.0,Yes,Postgraduate,95.0,Pass
21.0,M,9.0,,7.0,2.0,,Yes,Graduate,92.0,Pass
,F,5.0,82.0,4.0,,85.0,No,Postgraduate,74.0,Pass
18.0,M,5.0,68.0,4.0,1.0,59.0,Yes,,71.0,Pass
,M,4.0,91.0,5.0,1.0,62.0,,Postgraduate,65.0,
24.0,M,6.0,83.0,4.0,5.0,44.0,No,School,77.0,Pass
17.0,F,2.0,56.0,6.0,4.0,,Yes,Postgraduate,41.0,Fail
24.0,F,3.0,80.0,5.0,5.0,84.0,Yes,School,78.0,Pass
21.0,M,1.0,51.0,6.0,5.0,85.0,Yes,School,57.0,
18.0,M,2.0,68.0,4.0,2.0,41.0,No,Postgraduate,47.0,Fail
18.0,F,2.0,87.0,5.0,5.0,55.0,Yes,Graduate,60.0,Pass
22.0,F,8.0,81.0,7.0,5.0,44.0,Yes,Postgraduate,90.0,Pass
25.0,F,8.0,59.0,8.0,2.0,61.0,No,School,79.0,Pass
17.0,M,2.0,90.0,7.0,3.0,40.0,No,School,59.0,Pass
22.0,,6.0,57.0,6.0,3.0,51.0,No,Graduate,74.0,Pass
25.0,F,5.0,75.0,7.0,2.0,58.0,No,Graduate,69.0,Pass
24.0,M,3.0,79.0,7.0,5.0,93.0,No,Graduate,77.0,Pass
22.0,F,5.0,60.0,8.0,1.0,61.0,No,School,58.0,Pass
,F,5.0,90.0,8.0,4.0,94.0,No,Postgraduate,95.0,Pass
24.0,F,5.0,69.0,7.0,,81.0,Yes,,73.0,Pass
25.0,M,3.0,69.0,8.0,1.0,83.0,No,School,,Pass
17.0,F,3.0,58.0,7.0,,90.0,No,Postgraduate,70.0,Pass
25.0,F,4.0,57.0,5.0,4.0,,No,Graduate,64.0,Pass
22.0,M,7.0,64.0,7.0,4.0,56.0,Yes,Postgraduate,80.0,Pass
22.0,,2.0,83.0,4.0,3.0,52.0,Yes,Postgraduate,60.0,Pass
20.0,M,4.0,73.0,8.0,2.0,78.0,No,School,81.0,Pass
17.0,F,4.0,82.0,,5.0,67.0,No,School,75.0,Pass
24.0,M,1.0,90.0,6.0,4.0,42.0,No,School,43.0,Fail
18.0,F,8.0,,,5.0,44.0,Yes,,93.0,Pass
17.0,F,1.0,94.0,4.0,3.0,75.0,No,Graduate,58.0,Pass
18.0,F,,89.0,8.0,1.0,54.0,Yes,Graduate,,Pass
17.0,F,7.0,76.0,8.0,4.0,56.0,Yes,Graduate,71.0,Pass
17.0,F,9.0,70.0,6.0,3.0,83.0,No,School,108.0,Pass
25.0,M,8.0,54.0,6.0,5.0,94.0,,Graduate,84.0,Pass
17.0,M,5.0,84.0,7.0,3.0,85.0,No,Graduate,78.0,Pass
20.0,F,,70.0,8.0,3.0,,Yes,School,80.0,Pass
22.0,F,3.0,53.0,8.0,3.0,43.0,Yes,Graduate,43.0,Fail
23.0,F,7.0,98.0,7.0,3.0,71.0,Yes,Graduate,,Pass
18.0,M,4.0,97.0,8.0,3.0,88.0,No,Graduate,78.0,Pass
22.0,M,5.0,65.0,4.0,,,Yes,Postgraduate,84.0,Pass
23.0,F,9.0,80.0,6.0,,77.0,Yes,Postgraduate,102.0,
18.0,M,7.0,75.0,6.0,5.0,43.0,No,School,73.0,Pass
18.0,F,4.0,84.0,6.0,,52.0,Yes,,58.0,Pass
23.0,F,6.0,55.0,5.0,5.0,59.0,Yes,,75.0,Pass
,F,7.0,82.0,4.0,4.0,86.0,No,School,99.0,Pass
24.0,M,9.0,70.0,4.0,,57.0,No,,88.0,Pass
19.0,F,4.0,65.0,7.0,5.0,88.0,No,Graduate,67.0,Pass
22.0,F,,96.0,,3.0,90.0,Yes,,79.0,Pass
25.0,F,8.0,88.0,8.0,2.0,81.0,Yes,School,95.0,Pass
22.0,M,1.0,83.0,4.0,1.0,76.0,Yes,Graduate,65.0,Pass
25.0,M,9.0,91.0,5.0,3.0,51.0,Yes,Graduate,89.0,Pass
23.0,M,1.0,64.0,5.0,5.0,64.0,Yes,Postgraduate,47.0,Fail
25.0,F,2.0,55.0,4.0,5.0,69.0,No,School,57.0,Pass
18.0,M,8.0,51.0,7.0,2.0,54.0,Yes,Graduate,,
24.0,F,9.0,73.0,5.0,2.0,,No,School,109.0,Pass
,M,7.0,98.0,,5.0,,Yes,School,85.0,Pass
18.0,F,3.0,77.0,5.0,3.0,47.0,Yes,,65.0,
20.0,M,7.0,,8.0,3.0,67.0,No,Postgraduate,84.0,Pass
23.0,F,6.0,50.0,4.0,3.0,91.0,,Postgraduate,90.0,Pass
20.0,M,2.0,77.0,8.0,1.0,61.0,Yes,Postgraduate,66.0,
20.0,M,3.0,85.0,7.0,1.0,88.0,No,Postgraduate,83.0,Pass
22.0,M,5.0,,6.0,3.0,77.0,No,Graduate,84.0,
22.0,F,4.0,97.0,4.0,5.0,55.0,Yes,Postgraduate,78.0,Pass
19.0,,2.0,57.0,5.0,2.0,44.0,No,Graduate,46.0,Fail
25.0,,4.0,50.0,6.0,4.0,85.0,Yes,Postgraduate,75.0,Pass
18.0,M,8.0,75.0,5.0,2.0,73.0,No,Graduate,81.0,Pass
22.0,M,5.0,92.0,7.0,2.0,88.0,Yes,School,81.0,Pass
23.0,,5.0,98.0,4.0,4.0,77.0,No,Postgraduate,94.0,Pass
25.0,M,3.0,74.0,7.0,,50.0,No,,59.0,Pass
19.0,F,8.0,59.0,,,41.0,Yes,Postgraduate,69.0,Pass
19.0,F,,61.0,7.0,4.0,64.0,No,Graduate,72.0,Pass
23.0,F,2.0,90.0,,5.0,64.0,No,Graduate,60.0,Pass
20.0,F,2.0,56.0,5.0,,40.0,No,Postgraduate,37.0,Fail
24.0,M,,61.0,8.0,5.0,70.0,Yes,Graduate,81.0,Pass
23.0,F,7.0,96.0,5.0,,,No,School,,Pass
21.0,F,9.0,89.0,6.0,2.0,,No,Postgraduate,99.0,Pass
23.0,F,6.0,66.0,7.0,2.0,43.0,No,School,66.0,
19.0,F,5.0,54.0,6.0,1.0,,Yes,Graduate,78.0,Pass
18.0,M,1.0,63.0,5.0,5.0,44.0,Yes,Graduate,45.0,Fail
22.0,,6.0,83.0,7.0,3.0,44.0,No,Postgraduate,78.0,Pass
18.0,F,6.0,97.0,5.0,,55.0,Yes,School,73.0,Pass
19.0,F,3.0,66.0,7.0,3.0,93.0,,School,76.0,Pass
22.0,,3.0,84.0,5.0,,57.0,Yes,Postgraduate,53.0,Pass
21.0,M,3.0,50.0,4.0,,82.0,,School,62.0,Pass
24.0,M,3.0,99.0,8.0,1.0,56.0,,Postgraduate,62.0,Pass
25.0,M,7.0,99.0,8.0,3.0,74.0,No,Postgraduate,99.0,Pass
19.0,M,2.0,85.0,7.0,1.0,57.0,No,Graduate,59.0,Pass
19.0,M,,64.0,4.0,2.0,43.0,Yes,Graduate,50.0,Pass
19.0,,3.0,68.0,6.0,4.0,90.0,No,School,78.0,Pass
22.0,M,7.0,91.0,4.0,3.0,70.0,No,Postgraduate,89.0,Pass
17.0,M,3.0,54.0,7.0,2.0,70.0,No,Postgraduate,60.0,Pass
23.0,F,7.0,,4.0,5.0,48.0,,Postgraduate,83.0,Pass
17.0,M,9.0,92.0,6.0,3.0,70.0,No,Postgraduate,108.0,Pass
,M,4.0,88.0,7.0,1.0,44.0,,Graduate,58.0,Pass
24.0,M,7.0,54.0,8.0,3.0,75.0,No,School,88.0,Pass
20.0,F,9.0,61.0,4.0,2.0,55.0,Yes,Graduate,93.0,Pass
21.0,M,,68.0,,2.0,81.0,No,Postgraduate,93.0,Pass
,F,8.0,96.0,8.0,1.0,80.0,Yes,School,,Pass
20.0,F,9.0,61.0,5.0,2.0,55.0,,School,76.0,Pass
24.0,M,5.0,85.0,6.0,3.0,59.0,Yes,,66.0,Pass
18.0,M,,61.0,4.0,1.0,93.0,Yes,Postgraduate,81.0,Pass
17.0,M,3.0,67.0,8.0,2.0,69.0,Yes,,65.0,Pass
19.0,M,5.0,98.0,8.0,2.0,65.0,No,Graduate,76.0,Pass
,,,97.0,6.0,3.0,88.0,Yes,Postgraduate,97.0,Pass
20.0,M,5.0,92.0,,2.0,70.0,Yes,Postgraduate,81.0,Pass
21.0,F,4.0,83.0,8.0,3.0,89.0,Yes,Graduate,77.0,Pass
18.0,,8.0,,8.0,5.0,,Yes,,80.0,
20.0,F,7.0,82.0,8.0,,91.0,Yes,School,90.0,Pass
18.0,F,6.0,98.0,5.0,4.0,80.0,,School,81.0,Pass
,F,5.0,67.0,5.0,2.0,77.0,Yes,Graduate,79.0,Pass
,M,5.0,78.0,7.0,5.0,77.0,Yes,Postgraduate,,Pass
22.0,F,2.0,94.0,4.0,1.0,82.0,Yes,School,73.0,Pass
23.0,F,4.0,54.0,6.0,4.0,59.0,No,Postgraduate,52.0,Pass
19.0,M,8.0,74.0,7.0,,74.0,,Graduate,95.0,
19.0,M,8.0,73.0,,4.0,62.0,,,87.0,
22.0,F,1.0,78.0,5.0,5.0,83.0,Yes,Postgraduate,58.0,
19.0,F,2.0,87.0,5.0,5.0,86.0,Yes,Postgraduate,75.0,Pass
18.0,M,,82.0,7.0,,78.0,Yes,Postgraduate,81.0,Pass
24.0,F,9.0,59.0,5.0,4.0,64.0,,Postgraduate,83.0,Pass
21.0,M,7.0,86.0,,3.0,93.0,Yes,School,102.0,Pass
17.0,M,5.0,82.0,5.0,1.0,89.0,No,,81.0,Pass
19.0,F,1.0,72.0,8.0,3.0,61.0,No,School,45.0,Fail
24.0,,,,,3.0,86.0,No,Graduate,86.0,
20.0,F,8.0,73.0,4.0,2.0,47.0,Yes,School,,Pass
23.0,F,7.0,,5.0,1.0,93.0,Yes,Postgraduate,94.0,Pass
18.0,F,2.0,56.0,4.0,4.0,48.0,No,School,39.0,Fail
23.0,M,5.0,99.0,7.0,2.0,54.0,No,Graduate,78.0,
21.0,F,4.0,70.0,4.0,2.0,87.0,Yes,Postgraduate,82.0,Pass
21.0,,9.0,69.0,5.0,5.0,59.0,Yes,Graduate,86.0,Pass
22.0,F,1.0,59.0,7.0,4.0,74.0,No,Graduate,,Fail
25.0,F,6.0,,7.0,3.0,76.0,,Postgraduate,87.0,Pass
22.0,M,,96.0,8.0,3.0,42.0,No,School,52.0,Pass
24.0,F,9.0,85.0,7.0,3.0,73.0,No,Graduate,104.0,Pass
23.0,F,5.0,97.0,7.0,5.0,73.0,Yes,Postgraduate,88.0,Pass
25.0,M,6.0,96.0,4.0,3.0,75.0,No,Graduate,84.0,
20.0,M,9.0,64.0,7.0,1.0,74.0,No,,95.0,Pass
18.0,M,9.0,93.0,6.0,3.0,,Yes,Graduate,94.0,Pass
23.0,F,8.0,89.0,,3.0,,,Graduate,102.0,Pass
22.0,,9.0,89.0,8.0,1.0,94.0,No,Graduate,116.0,Pass
17.0,M,4.0,99.0,7.0,5.0,93.0,No,Graduate,82.0,Pass
25.0,F,6.0,55.0,4.0,2.0,65.0,Yes,School,81.0,Pass
25.0,M,,86.0,8.0,4.0,51.0,Yes,,78.0,Pass
18.0,F,5.0,51.0,8.0,5.0,63.0,No,Graduate,72.0,Pass
19.0,F,4.0,61.0,6.0,3.0,80.0,Yes,School,63.0,Pass
21.0,,2.0,53.0,7.0,2.0,58.0,Yes,Graduate,47.0,
21.0,F,6.0,,8.0,4.0,83.0,No,Graduate,89.0,Pass
17.0,M,9.0,62.0,,4.0,55.0,Yes,,78.0,Pass
,M,1.0,66.0,,4.0,65.0,No,School,47.0,Fail
24.0,M,7.0,80.0,8.0,1.0,,Yes,Graduate,,Pass
20.0,M,6.0,65.0,4.0,1.0,72.0,No,,76.0,Pass
23.0,F,3.0,90.0,5.0,2.0,81.0,Yes,Postgraduate,71.0,
19.0,F,1.0,75.0,6.0,3.0,69.0,Yes,School,56.0,Pass
22.0,M,4.0,77.0,4.0,2.0,62.0,No,Postgraduate,70.0,Pass
25.0,M,,50.0,6.0,3.0,49.0,No,Postgraduate,78.0,Pass
,F,2.0,96.0,8.0,,75.0,No,Postgraduate,74.0,Pass
21.0,M,3.0,61.0,6.0,4.0,70.0,No,Postgraduate,61.0,Pass
20.0,F,2.0,86.0,7.0,4.0,82.0,Yes,,67.0,Pass
24.0,M,2.0,99.0,7.0,1.0,61.0,Yes,Postgraduate,66.0,Pass
17.0,F,8.0,69.0,5.0,5.0,82.0,No,School,84.0,Pass
25.0,F,3.0,51.0,5.0,5.0,82.0,Yes,,53.0,Pass
22.0,F,7.0,85.0,6.0,3.0,93.0,No,Postgraduate,87.0,Pass
20.0,M,8.0,64.0,4.0,5.0,77.0,Yes,,95.0,Pass
25.0,M,3.0,87.0,4.0,1.0,86.0,No,School,74.0,Pass
21.0,M,2.0,71.0,8.0,3.0,41.0,Yes,School,46.0,Fail
21.0,M,8.0,93.0,,2.0,92.0,No,Postgraduate,100.0,Pass
21.0,M,3.0,99.0,5.0,3.0,62.0,Yes,Postgraduate,65.0,Pass
17.0,F,7.0,81.0,4.0,2.0,93.0,Yes,Postgraduate,86.0,Pass
17.0,F,1.0,69.0,,3.0,74.0,No,Postgraduate,57.0,Pass
24.0,F,6.0,85.0,7.0,,,Yes,Postgraduate,79.0,Pass
24.0,F,9.0,82.0,4.0,2.0,71.0,Yes,School,,Pass
22.0,F,3.0,64.0,4.0,1.0,82.0,No,School,69.0,Pass
20.0,F,7.0,99.0,5.0,2.0,92.0,No,Graduate,102.0,
18.0,F,6.0,95.0,6.0,2.0,51.0,,Graduate,85.0,Pass
18.0,,8.0,52.0,7.0,,74.0,No,School,79.0,Pass
25.0,F,3.0,78.0,,4.0,,Yes,Graduate,64.0,Pass
21.0,M,,96.0,8.0,3.0,42.0,No,Postgraduate,51.0,Pass
20.0,F,4.0,76.0,8.0,3.0,73.0,No,Graduate,67.0,
17.0,F,3.0,54.0,6.0,4.0,77.0,No,Postgraduate,58.0,Pass
23.0,M,9.0,,5.0,3.0,63.0,Yes,Postgraduate,84.0,Pass
19.0,F,4.0,71.0,5.0,4.0,77.0,Yes,Graduate,64.0,Pass
22.0,M,6.0,84.0,5.0,1.0,56.0,Yes,Graduate,86.0,Pass
21.0,F,8.0,56.0,7.0,4.0,79.0,Yes,Postgraduate,79.0,Pass
21.0,M,8.0,55.0,8.0,5.0,40.0,No,,71.0,Pass
21.0,F,5.0,,8.0,4.0,,Yes,Graduate,66.0,Pass
17.0,M,5.0,50.0,8.0,4.0,93.0,Yes,Graduate,79.0,Pass
17.0,M,6.0,,7.0,5.0,54.0,No,School,77.0,Pass
19.0,F,7.0,56.0,8.0,4.0,89.0,No,Graduate,96.0,Pass
,F,7.0,85.0,6.0,2.0,,Yes,Postgraduate,94.0,Pass
,M,4.0,61.0,4.0,3.0,64.0,No,School,70.0,Pass
18.0,,6.0,69.0,,3.0,47.0,Yes,School,69.0,Pass
,M,,72.0,4.0,1.0,91.0,Yes,Postgraduate,83.0,Pass
18.0,F,5.0,74.0,6.0,1.0,71.0,Yes,Postgraduate,82.0,Pass
25.0,M,5.0,79.0,5.0,5.0,89.0,,Postgraduate,93.0,Pass
18.0,F,2.0,78.0,5.0,2.0,52.0,No,,48.0,Fail
,M,7.0,80.0,5.0,,85.0,Yes,Postgraduate,84.0,
23.0,F,6.0,67.0,7.0,3.0,54.0,Yes,Graduate,78.0,Pass
24.0,M,,90.0,5.0,1.0,45.0,No,Graduate,46.0,Fail
18.0,M,,,7.0,1.0,72.0,Yes,Postgraduate,69.0,Pass
23.0,F,3.0,53.0,7.0,4.0,46.0,No,Graduate,49.0,Fail
22.0,,3.0,50.0,4.0,,72.0,No,Graduate,60.0,Pass
,M,7.0,90.0,5.0,5.0,86.0,No,,89.0,Pass
23.0,M,4.0,64.0,8.0,3.0,68.0,No,Postgraduate,56.0,Pass
20.0,M,8.0,57.0,5.0,,77.0,Yes,Graduate,94.0,Pass
18.0,M,9.0,64.0,5.0,5.0,76.0,No,,95.0,Pass
23.0,F,,64.0,5.0,2.0,83.0,,Postgraduate,66.0,Pass
24.0,M,5.0,99.0,8.0,4.0,71.0,No,Graduate,80.0,
18.0,,,88.0,8.0,5.0,42.0,Yes,Graduate,55.0,Pass
21.0,M,6.0,71.0,7.0,2.0,93.0,Yes,School,84.0,Pass
17.0,,4.0,67.0,8.0,3.0,59.0,,School,72.0,Pass
23.0,M,8.0,65.0,,3.0,53.0,Yes,School,80.0,Pass
24.0,F,3.0,51.0,4.0,2.0,67.0,Yes,Graduate,53.0,Pass
22.0,F,5.0,85.0,7.0,5.0,,No,School,77.0,Pass
21.0,F,1.0,,5.0,,43.0,,Postgraduate,40.0,Fail
22.0,F,6.0,65.0,6.0,4.0,54.0,Yes,School,63.0,Pass
18.0,F,5.0,52.0,6.0,4.0,56.0,No,School,63.0,Pass
17.0,F,8.0,79.0,5.0,3.0,76.0,,School,100.0,Pass
23.0,,9.0,,7.0,4.0,63.0,Yes,Postgraduate,82.0,Pass
23.0,M,8.0,84.0,5.0,2.0,77.0,No,Postgraduate,105.0,Pass
18.0,M,8.0,,8.0,3.0,81.0,Yes,Graduate,85.0,Pass
18.0,F,3.0,54.0,7.0,5.0,80.0,Yes,School,72.0,Pass
17.0,M,4.0,51.0,5.0,3.0,75.0,No,Postgraduate,55.0,Pass
24.0,M,4.0,69.0,8.0,1.0,80.0,,Postgraduate,77.0,Pass
24.0,F,5.0,,,3.0,47.0,Yes,Postgraduate,61.0,Pass
17.0,M,9.0,,,4.0,42.0,No,Graduate,84.0,Pass
24.0,F,9.0,69.0,4.0,2.0,69.0,Yes,Graduate,90.0,Pass
25.0,M,1.0,99.0,4.0,5.0,61.0,Yes,Graduate,49.0,Fail
20.0,F,8.0,74.0,8.0,5.0,91.0,Yes,,,Pass
17.0,F,1.0,69.0,4.0,4.0,72.0,Yes,Postgraduate,48.0,Fail
17.0,M,2.0,74.0,8.0,,,Yes,Graduate,47.0,Fail
19.0,M,7.0,63.0,4.0,4.0,,No,Graduate,86.0,Pass
21.0,F,8.0,96.0,8.0,1.0,69.0,Yes,Postgraduate,,Pass
21.0,F,1.0,,8.0,2.0,76.0,No,Postgraduate,59.0,
25.0,,3.0,92.0,8.0,1.0,42.0,Yes,School,49.0,
18.0,M,,92.0,8.0,4.0,43.0,Yes,School,77.0,Pass
18.0,M,9.0,88.0,6.0,2.0,68.0,,School,88.0,Pass
22.0,M,8.0,61.0,4.0,4.0,,No,Graduate,87.0,Pass
25.0,M,8.0,97.0,8.0,2.0,62.0,No,Graduate,89.0,Pass
17.0,F,9.0,54.0,5.0,5.0,58.0,Yes,Postgraduate,82.0,Pass
,F,3.0,51.0,,,54.0,Yes,,45.0,Fail
,F,8.0,65.0,5.0,4.0,90.0,No,Postgraduate,96.0,
25.0,F,1.0,79.0,5.0,4.0,55.0,Yes,School,41.0,Fail
21.0,M,8.0,96.0,6.0,3.0,62.0,,School,100.0,
25.0,F,7.0,92.0,4.0,5.0,79.0,Yes,School,92.0,Pass
20.0,F,8.0,87.0,6.0,4.0,85.0,Yes,School,,Pass
18.0,M,1.0,94.0,4.0,1.0,76.0,,,62.0,Pass
,M,6.0,91.0,8.0,5.0,40.0,No,Postgraduate,76.0,Pass
20.0,F,7.0,73.0,6.0,4.0,58.0,Yes,Graduate,83.0,Pass
22.0,M,5.0,79.0,,1.0,76.0,No,School,75.0,Pass
19.0,F,5.0,86.0,4.0,3.0,74.0,Yes,Postgraduate,81.0,Pass
22.0,,7.0,88.0,6.0,3.0,,Yes,School,84.0,Pass
18.0,M,3.0,60.0,7.0,1.0,56.0,Yes,School,57.0,
,F,6.0,63.0,5.0,5.0,78.0,Yes,Graduate,77.0,Pass
25.0,,7.0,72.0,8.0,1.0,88.0,No,,82.0,Pass
23.0,F,1.0,65.0,8.0,1.0,65.0,Yes,Postgraduate,49.0,Fail
,M,2.0,,5.0,3.0,52.0,Yes,,55.0,Pass
,,4.0,70.0,6.0,3.0,93.0,No,,83.0,Pass
24.0,,8.0,53.0,5.0,3.0,61.0,Yes,Postgraduate,79.0,Pass
22.0,M,6.0,82.0,,4.0,85.0,Yes,Postgraduate,92.0,Pass
23.0,M,1.0,96.0,4.0,4.0,62.0,Yes,Graduate,67.0,Pass
,F,5.0,63.0,6.0,2.0,,No,School,76.0,Pass
21.0,M,7.0,68.0,,4.0,82.0,Yes,School,88.0,Pass
17.0,F,6.0,54.0,5.0,5.0,72.0,No,Graduate,66.0,Pass
23.0,M,9.0,85.0,8.0,5.0,66.0,No,,95.0,Pass
21.0,,8.0,80.0,4.0,3.0,74.0,,School,94.0,Pass
19.0,M,4.0,94.0,4.0,1.0,51.0,Yes,,68.0,Pass
25.0,F,5.0,67.0,8.0,,48.0,Yes,Postgraduate,68.0,Pass
17.0,F,7.0,93.0,4.0,1.0,73.0,Yes,Graduate,85.0,Pass
17.0,,,80.0,4.0,3.0,53.0,No,Graduate,79.0,Pass
17.0,M,,79.0,8.0,3.0,76.0,Yes,School,69.0,Pass
19.0,M,9.0,,8.0,5.0,42.0,Yes,Graduate,72.0,Pass
22.0,F,4.0,96.0,5.0,1.0,83.0,Yes,School,81.0,
19.0,F,4.0,79.0,5.0,,83.0,No,Graduate,69.0,Pass
24.0,M,8.0,90.0,4.0,2.0,60.0,Yes,Postgraduate,93.0,Pass
18.0,M,1.0,53.0,6.0,3.0,46.0,Yes,School,42.0,Fail
,F,8.0,54.0,5.0,3.0,72.0,Yes,Graduate,,
,F,5.0,90.0,5.0,5.0,74.0,Yes,School,75.0,Pass
21.0,,1.0,94.0,6.0,1.0,50.0,Yes,Graduate,53.0,Pass
24.0,F,,59.0,6.0,3.0,84.0,Yes,Graduate,68.0,Pass
,M,2.0,76.0,8.0,2.0,,Yes,Graduate,51.0,Pass
22.0,M,4.0,65.0,,1.0,61.0,No,School,57.0,Pass
21.0,M,8.0,79.0,7.0,3.0,94.0,No,School,108.0,Pass
25.0,F,5.0,62.0,7.0,1.0,81.0,Yes,Postgraduate,78.0,Pass
21.0,F,1.0,,4.0,5.0,58.0,Yes,Postgraduate,47.0,Fail
18.0,F,7.0,70.0,,2.0,75.0,Yes,Postgraduate,82.0,Pass
21.0,F,1.0,94.0,7.0,1.0,93.0,,Postgraduate,71.0,Pass
20.0,,9.0,89.0,5.0,2.0,76.0,Yes,Graduate,93.0,Pass
23.0,F,3.0,94.0,5.0,3.0,,Yes,,65.0,Pass
22.0,M,3.0,64.0,7.0,4.0,80.0,No,Graduate,69.0,Pass
18.0,M,,69.0,5.0,1.0,52.0,No,,66.0,Pass
21.0,M,6.0,69.0,6.0,2.0,67.0,Yes,School,,Pass
23.0,F,6.0,94.0,4.0,,88.0,Yes,Graduate,92.0,Pass
23.0,M,1.0,54.0,8.0,,54.0,No,,42.0,
21.0,M,5.0,81.0,7.0,3.0,,No,,60.0,Pass
